label	tweet_text
MGH	@AFC_A7S @Hemixy باهي لو فرنسا فازت ب اللقب
MGH	@IOI4ZSSnJJMSIzQ باهي بالنجاح ان شاء الله 😄
MGH	@naserelgazaly باهي يا ناصر حتي "ولد خالتي". معاش بنقولها😤
MGH	بركان    كرسي الاعتراف 😂😂😂 بني جديد ولا شارع الحب ولا شارع الدهب ولا زنقة ابن سينا غير كولولي السمية الحقيقية ديالو ها العار 😂😂
MGH	RT @Gargabil: يكب سعد العار... دولة يعجز رئيس حكومة فيها ورغم كل صلاحياتو على فرض النظام بسلطة القانون. كيفاش نثقو فيه باش يحمي م… 
MGH	صاحا ساغيو والله نسقسيكم : وغولام علاش ماخرجهاش للتوش ها رب هاه ^_^
MGH	@atefsokni علاش من الاولى
MGH	RT @AADTB91: #النهار علاش متهدرش قناة العار على الفيديو تاع شمسو؟ اه قاسكم فالصح #مانسوطيش    https://t.co/0ZkBH3FHTv   #الجزائر  #Algeria
MGH	كلشي يشارك معانا دابا نااااليضة  شكون غادي يربح فيكم التليفون https://t.co/rB3CbOZrqi
MGH	المغرب كاملو غادي للمراكش
MGH	@WafaaAzza حبيبتي راني هنا 😘 توحشتك
MGH	المهم فرنسا ماغاديش تبقا محلولة مهما كان الفائز فالانتخابات .. المرشحين بجوج عندهم خطة بوليسية غادي تفرع المهاجرين
MGH	@Hallywoodz قديم فوجهو دينمو معندوش مع هادشي ديال دابا 😭
MGH	@bGawc1BDyrgraI1 @maroukousaghira هههههه راه فات واحد مزطول هدا باين راه مكتر زطلة
MGH	@ETM73 لا مَش غادي انا فى امريكا
MGH	@aliabiskra4 و الله كرهت نتي دايرة حاجة بنيتك هوما يحسبولها و يرجعوها حاجة اخرى بففففف مرض و الله
MGH	RT @hamzasalih2: الي تلقاه راقد ريح  تلقاه اصلا وهو صغير مدارش سيور علي حاله وكملها سنكحه وكوارط بعد كبر لقى روحه  راقد ريح  معروفه فالحركه…
MGH	@Schwarzenegger @Snapchat هاني باش نعملو خطة انا غدار و باهي لكن مانذبحش IM l Etranger
MGH	رسالة الى كل الصفحات الخاصة بالفريق و الولاية  خلاص بزاف لعب ذراري لازم نوصلوا لاتفاق وينتا نديرو مسيرة شعبية... https://t.co/1R55tn2Fkj
MGH	و قاعدين انقولوا علاش ربي منزل فينا البلي لا تعرفه #الجهل #مصيبة لا تعرفه مريحهم من قلة #التفكير https://t.co/lt0GSW2pQx
MGH	RT @_____OIIII: هاك كل اللي تبي مني وهاتك ، يا أنا : وياك .. يا كلك : معي !
MGH	RT @DZjokerOfficiel: غدوة الخميس فيديو جديدة «مانسوطيش» علی الثامنة ليلا ان شاء الله  Demain jeudi inchAllah a 20h la nouvelle video... htt…
MGH	الحلم ديالي قبل ما نموت هو نبوس يد الملك ديالنا الله ينصرو....😉
MGH	هاو وين تنجمو تتفرجو في ماتشوات الأحد ⚽📺⬇ https://t.co/fD8FGSvkAw
MGH	@skeptikoman ولايتا كاين كوفيتير و كاين لعسل لحر و غا جي
MGH	علاش التفكير فيك حلو لهالدرجة !؟ .
MGH	@Souulaymaa دابا غاتبدا ميطا التانية ، الرياضية
MGH	هادوك الذميمين القصار الرقاق لي فاش كانو الناس كيتصاحبوا و يعيشوا الحياة السعيدة كانوا هوما كيعيشو الفقر و... https://t.co/9IYkkgxc4d
MGH	زعمة واش حامض ولا كايجي مزيان ف شلاضة https://t.co/FxebfitM1D
MSA	 جزء من جلسة تصوير كنزة مرسلي الاخيرة في فديو رائع 
MSA	 شبيح يروج لحسن نصر اللات ويتواصل معه الاسم محمد رمضان المدينة الدمام العملمدير للعمليات في أحد بنوك حي الروض 
MSA	اللهم اشفي من شكى ألما وخفف على من بكى وجعا وحزنا ربي ارح ثم هون ثم اشفي كل نفس لا يعلم بوجعها إلا انت ساعهاستجابه
MSA	اللهم أسكب في جسد كل مريض نهرا من الراحة يسري في اوردته ربي ارح ثم هون ثم اشفي كل نفس لايعلم بوجعها الا انت يارب العالمين
MSA	يارب هون ألم الكيماوي على مرضى السرطان أللهم أجعله يسري بأوردتهم باردا وأجعل عاقبته عافيه يارب 
MSA	اللهم أشف من شكى ألما وخفف على من بكى وجعا وأرح ثم هون ثم فرج كل نفس لا يعلم كربها إلا أنت يا من بيده تدبير الأمور 
MSA	لا يشوه سمعتك إلا من تمنى أن يكون مثلك وفشل جورج برنارد شو 
MSA	يارب صبر قلوبنا وانزل علينا سكينتك ربي امسح على قلوبنا من طمأنينتك اللهم هون علينا اللهم اجبر خاطرنا في فقدانه 
MSA	على بالي انتي شو ما تحكي
MSA	اللهم هون علينا امور انت تعلمها
MSA	الحب يصنع المعجزات لكنه لايصنع المنسف 
MSA	اللهم اني اسالك رحمتك ولطفك بمرضانا ومرضى المسلمين اللهم هون عليهم وخفف عنهم اوجاعهم اللهم اشفهم وعافهم واحفظهم بحفظك ي
MSA	هون على قلبك المحزون ان له ربا سيملؤه نورا و يرويه 
MSA	ربي هون علينا الأيام القادمة واكتب لنا فيها التيسير والتوفيق والنجاح والسعادة إنك على كل شيء قدير
MSA	اللهم هون علي دارستي 
OTHER	 هههه شو هالكتب هههه ابا انزل وياك ههههه عطوني نعال هههه
OTHER	حارتنا ضيقة وبنعرف بعض والله
OTHER	 اي والله مسجد حارتنا بالمية او بالمية سعوديين
OTHER	 سعيد الكثيري يصلح لعجمان صاعد ومحقق الدوري شو يبا اكثر
OTHER	أقل شي بتعيش وياي نص يوم وبتموت شو بستفيد انا
OTHER	 عفكره شو رأيكانتم مذنبون اعطوا الاجير اجره قبل ان يجف عرقهترامب يطالبكم بالدينا 
OTHER	وراحت عاملتنا يحليلها نعم إنه ما اعرف شو اقول إن الكلام يخون
OTHER	 اشوا ان حسابك تهكر احسبك حاتم الصدقي
OTHER	 اشوا تصدق توي اشوف انك كاتب مسلسل ذا هاندزمايدز تيل ماش يبي له نظارات 
OTHER	سرقلللللللي ذكرياااااااااتهي واخد مني اهااااااااااتي ي ليته ي ما مررررررق سوري ي وحش انفعلت شوية 
MGH	قلبي نحر قسّيس واشواقي صليب  ما يكتمل دين الغرام الا معاك ٰ قولي لغرورك لا يشك ويستريب هاك العمر ماعندي اغلا منّه هاك
MGH	RT @H_A_thamer_87: هاك اقره يل تقره الورد شاطرچنت بقرايته اقراني واحدمختنك ضاگت بعينه ولايته مشتاگلك لكن هلك يستكثرون حجايته ضليت اگلب… 
MSA	 باهي ومن مارس ذلك في تسعت حروب وتحت راية الصليب ماذا نقول عنه
MSA	حروف الإظهار فالقرآن مجموعة في أول حرف من كل كلمة فالجمل التالية أخي هاك علما حازه غير خاسر إن غاب عني حبيبي همني خبره
MSA	يا نسيم الصباح سلم على باهي الخد نبهه من منامه صباحكم نسمات الجنة ورضا الرحمن هيبةملك اناقةالياسمين 
MGH	RT @3ouqh: غادي حالي ماعاده بذاك اللي تبي    أتصبر ، بس الاخلاق قدهي شاينه.
MGH	@LeFettouch من كل فن طرف ا ساط ،الشهر جاي تقدر تلقاني قلبت ع الراب كومبليتلي
MGH	RT @Sofi_loka2: #إحساسك_قبل_الفاينل غير الخير 😌غير الخييير 🎺🎸دايره فيها والي شرررر 🎹🎶خاسر جيبي صحتي وكتررر 🎶🎼 لوكان جاخيري يهدررر 📀🎧🎵يقولي…
MGH	@karimOUTTA واخا غير نريقو معاك أ ساط 😂
MGH	@GNagib بص غدوة من ماك و كفا الله المؤمنين شر القتال 😂😂
MSA	ايدي هاو عن لقاء سندرلاند من الصعب أن نملك العاطفة لخصمنا حتى نهاية المباراة تركيزي كله حول ما سيقدمه فريقي 
MGH	المستفيدات الوحيدات من هاد الفضيحة الجنسية و الاخلاقية هوما الطاليبات لي ماڤاليدو حتٌا قلوة هههههههه
MSA	ما أصعب العمر لامن صار فالمنتصف لابه جهالة صغير ولاوقارة كبير 
MGH	@Sarcastwitta @Drizzmann دابا يطوال و يعجبك أبنتي
MGH	فيديو كليب انشودة رائعة  بعنوان صلاتي لابن مدينة الفقيه بن صالح  المنشد عادل فالصراحة فيديو زوين تبارك الله عليه... https://t.co/o3DJ8K7I20
MGH	@dimachqiya @ho0zam @HadiAlabdallah والي بس السم بين الناس بين الكورد والعرب لساتون ع الشاشات عن يجعرو متل الكلاب ليش ماحدا عم يسكتون
MGH	RT @aaddmani66: لا والذي سوى عيونك  وسـواك ماقلت ابيك الا وانا فعـلا ابـيك  الحب ماهو سوالف وخذ هاك الحـب يقطع عرق عينك ويعميك https://t.co…
MGH	@mardood1 داداش جهانگیری هم تو اختلاسا بوده:)))
MGH	RT @asseedan: أغنية: يا نسيم الصباح سلم على باهي الخد - بصوت عذب - عريب  صوت جميل https://t.co/UuIprR78yK
MGH	@t8v_g ارحبي انتي ي مرحبا بش
MGH	RT @_llM76: @N3S___ https://t.co/PoGjXnqa4T يحيج ماشي ع هالنظام انتي+ يريعه منج😂😂😂
MGH	RT @MasumeNemati: من بغض می بینم فقط از لابه لای خنده هات... #saveatena https://t.co/rnCEn0FzP8
MGH	انا لما اشوف اسمو مرسل لي ❤️🚶🏻🐸 https://t.co/khKzCZPsXu
MGH	RT @mamal72: وقتی قالیباف از پدیده‌ی نگاه به دوربین و دروغ‌گویی می‌گه! داداش داری اشتباه نقل قول می‌کنی! #مناظره
MGH	RT @kazeruni: جهانگیری میگه اونایی که از دیوار سفارت بالا رفتن الان تو کدوم ستادن؟ داداش اونایی که به امام رضا(ع) توهین کردن تو کدوم ستادن…
MGH	یارو پاکستانیه چشاش مث چش عزرائیله آدم جرات نداره بش نگاه کنه..از بس چش قشنگ دیدیم این چشا یادمون رفته.. :|
MGH	RT @yazn_2017: ياطير لو مريت في دم مسفوح وقف و بلغ صاحبه بالشهاده  ومن جرحني قله اليوم مسموح إلا الوطن ما بش لجرحه عياده https://t.co/eVwjT…
MGH	@Ehsani63 چی میزنی داداش
MGH	RT @AsCom123: تعال هاك الخفوق الصعب وإحتله الشوق حده وصل وتقول لي بدري  وصلت للي عجز أي شخص يوصله ولا فيه غيرك بقى في خاطري يطري❤
MGH	@ajmubasher باهي ومن مارس ذلك في تسعت حروب وتحت راية الصليب ماذا نقول عنه
MGH	@batne_chap بنظرم گوه خیلی کمه برای این وضعیت حالا بازم میل خودته داداش
MGH	RT @leopard_yemen: شعب اليمن أغلا من القلب والروح ومحبته سادس فروض العباده  ومن جرحني قله اليوم مسموح إلا الوطن ما بش لجرحه عياده https://t…
MGH	مسا الورد يا ورده ، مسا النور يا شمعه الجلاس ، مسا الشوق والاشتياق ، مساكم بش بش 💘🙄
MGH	@Tasnimnews_Fa داداش حداقل اگه تحریف میکنی حرف ملتو فیلمشو نزار ضایع نشی
MGH	RT @asseedan: يانسيم الصباح سلم على باهي الخد - الفنان رمزي محمد (HD) https://t.co/C9teDKC6yi
MGH	@news_ger_chekel يلي عم يقولو الفستان حلو بش انو بشوفو من عيونن 😂
MGH	RT @drsiyabi: حروف الإظهار فالقرآن مجموعة في أول حرف من كل كلمة فالجُمل التالية: ١-أخي هاك علماً حازه غير خاسر ٢-إن غاب عني حبيبي همني خبره…
MGH	RT @A9__T9: الرفاقه تجاره والوفا راس مال أشتر اللي يعزك ولاتعود بخيل ٠٠ لاعصتك الأجابة هاك رد السؤال الليالي معارك والمشاريه خيل"
MGH	RT @hyatiiii: يا نسيم الصَّباح سلِّم على باهي الخد  نبهه من منامه . صباحكم نسمات الجنة ورضا الرحمن. #هيبة_ملك #اناقة_الياسمين… 
MGH	هنوزم هلاک اون لبخند سرشار از "عاخه چااقاال" و "نگاییدم" جهانگیری ام بعد از این که قالیباف بش گفت شما اومدی کمک روحانی =))))
MGH	RT @elahetwiiter: شب #رئيسي پيامك ميزنه به #قاليباف ميگه داداش ما نخواييم شما سمت ما باشي كيو بايد ببينم؟
MGH	RT @xii6_0: مرات من شدّة إن الكلام ماعاد يفي بالغرض تحس ودك تطلع قلبك وتحطه بالمحادثة وتقول هاك الشعُور وهاك النبض أنا ياما حاولت أشرح لك و…
MGH	@HanoufMohammad @CitizensBut الجوازات يبغالهم شكوى للملك.عاثو  في النساء عووث الله لايوفقهم؟تدرين ان حتى اخوك مايقد… https://t.co/SKvgUqzRa2
MGH	RT @mf1447: https://t.co/muz2Yk7Ra1 يا حمام سمعته فوق الاغصان شادي هاك قافي وغنه في هديلك قصيد بين نوح الحروف وبين بحة عبادي جر صوتك وعطني…
MGH	@hafez_dima 😅والله عم احكي لمصلحتك اعملي صحن تفاح وبردئان وموز شوفي الفرق😅 خليكي نباتية متلي  حياة تانية😌😌😌😌 بش الم… https://t.co/tOYbTsMPk2
MGH	RT @83mu_: ⠀   ⠀⠀    ⠀⠀⠀ ⠀ ⠀ ⠀  ⠀  ㅤ هاك القصايد لاتضايقت واقرى شف وشكثرفيها لبسماتك اشتقت أثرالوفا ينباع عندك ويشرى ماكنت اصد… 
MGH	RT @O4TRPf26RWCJrJB: لا و الذي سوى عيونك و سواك ،،  ما قلت أبيك إلا و انا فعلا أبيك ،،  الحب ما هو سـوالف خذ و هاك ، الحب يقطع عرق عينك… 
MGH	احب ديرة شريك الروح واغليها    لو كان مالي بها رفقه ولا لابه
MGH	باز خوبه شریعتمداری رئیس ستاد روحانی هم گفت باید مجازات بشه. https://t.co/3Z5xjycrRn
MGH	ايدي هاو عن لقاء سندرلاند: "من الصعب أن نملك العاطفة لخصمنا حتى نهاية المباراة. تركيزي كله حول ما سيقدمه فريقي." https://t.co/a9mGMx0Yr7
MGH	RT @HasanSari7: 💢مصر التي لجأت اليها العائلة المقدسة أولى بصك مثل هذه العملة. سيكون رائعا صكها وتقديمها لكبار الضيوف الأجانب والسياح https:…
MGH	@forcabarca_ar اقسم ان اشبح لك واضع افتاري صورتك واطالب بعودتك وبيع ميسي  اذا سجلت عليهم وانتصر فيلنسيا
MGH	ما أصعب العمر لامن صار فالمنتصف  .. لابه جهالة صغير ولاوقارة كبير ✨
MGH	@eman998708 شنوا حرب علية مصاير منها بكروباتهم شرشحوني 😂😂😂
MGH	RT @SultanM1_: يا نـجـد ماعـيـنـت لـي فـيـك خلان عـهـدي بهم يانجد هاك الليالي راحوا وجمر الشوق تطفيه الاعيان ومن عقبهم يانجد عزي ل… 
MGH	عطني يدك خل العواذل يشوفون ياراس مال الحب وغاية مرادي بنغيضهم وبنشوف ويش يسون ماعاش من فرقنا بالحيل غادي
MGH	@l974_ الله يرحب بش ، ارحبي انتي❤️.
MGH	@ah_m_ed74 باين بش انا مش فاضي اليومين دول 😀
MGH	#كلمه_لشخص_اتغير_عليك  هدا الشخص عرفته في تويتراعتبرته اخت صغيرة لي في يوم تبدل 360 درجة ...اقوله #علاش ..غريب كيف الناس تعرف تتغير فجاة😣 😕😔
MGH	أرض في #مكه على شارع أجياد العام بصك عثماني مساحتها  ٢٢٠٠م سعر المتر  ١٠٠٠٠٠ الف لا يرغب في التطبيق أو المشاركة بيع فقط
MGH	RT @Hussein313Ss: يبن جعفر دليلي هاك نعشه  وكتنه صعب بل حسرات نعشه                                          انته العل جسر مطروح نعشه… 
MGH	ميزت وان الذيب ماعاد يدرق وتشوفه ام قرين وهو يشوفها بيت  شعري قديم معناه ينطبق على عصرنا الحالي
MGH	بين ترتيب الجمايل / والزمن وعيوبه يفرق الطيّب بـ طيبه والدبش منعفسه . مبتلي في صاحبً غادي فكر وعقوبه كل ما أكتب بيت ذم يشككه في نفسه
MGH	جواد داداش تب داری هذیون میگی عشقم❤😭 https://t.co/r1G5OdVdBz
MGH	بعد از #مناظره فارس گيج ميزنه داداش اين سند گل به خوديه 🤣 #انتخابات۹۶ #مناظره_اول #تا1400باروحانی https://t.co/CQIwRZrONZ
MGH	من الرسائل .. مطلوب موتور سنفور ع فراغة غي غازي عنتاب متابع
MGH	RT @kaaf_a: #جهانگیری میگه اونایی که ازدیوار سفارت بالا رفتن الان تو کدوم ستادن؟  داداش اونایی که به امام رضا(ع) توهین کردن تو کدوم ستادن؟…
MGH	RT @abo_alaz66: دامك مشكك في ولآء قلب غاليك لايذبحك شكك .. ونفحة عناده هاك الذي مـابين ضلعين مغليك أحـبك ، أحبك ، وأحبـك زياده  بقل… 
MGH	@almymn هزلت والله اجل صار ابا الحمير درع السنه ههههههههه والله العظيم شر البلية ما يضحك  ي اخي انت عقلك وينه طاس  جعلك تطس بجهنم
MGH	RT @A9__T9: الا يا دمعة المشتاق والولهان والحاير انا كنيتك بقلبي وضعتي وسط نبضاته وحتى لو سنيني عوج ببقى شامخ وصابر على هاك الطريق اللي مشى…
MGH	RT @0_bebo: @AAA12158574 @shayitana @IlQh4 @3lomcom على كيفك ماتصرف ولا فيه بيت ولا شي وتتشرطون ماتبون عيال ايش ذا الزواج وكمان… 
MGH	♻️ راه که بیفتیم                     ترسمان میریزد از همین نقطه که می بینید باید آغاز کنیم   ..... اره داداش #رای_نمیدم
MGH	@am1232132 ويش الفايده خلاص ماعاد بش صعود لو يعطونها النهضه نكايه بالانديه الاخرى
MGH	خامس رودريگز يه داداش داره به اسم رابع رودريگز
MGH	@severininfurs نمیخوام برم سر میزشون و اینکه چن نفر مث خودش دارن سعی میکنن اینو بش بگن :))))
MGH	@mohammadrezazb مال من نيس داداش اگر كپشنشم ميكني ك عيب نداره
MGH	یه کلمه هم از مادر عروس! یا داداش داماد یا هر کی!! 😑😐😃😃 https://t.co/ttWGSwXkRz
MGH	باز یک عکس تو اینستا گذاشتیم و باز دایرکت داداش زنده ایییی؟
MGH	RT @WmeYdn9JvWMNHQM: #خطوات_للتغيير بسعر خبزة تقنع الايتام خل اصبغ حذائك أهلي جوعانين هاك فلوس گتله ولاتتعب الحال رد بكبرياء وگلي شبعانين h…
MGH	@Rafi_AAA مشرف کو تو بش نے بھائ بنایا ہوا تھا۔۔۔نہی
MGH	RT @SEslamie: قالیباف دقیقا داره راه احمدی‌نژاد رو میده یه کاغذ نشون میده نه اسم داره نه رسم داداش آن مردی که این کار رو کرد، رفت
MGH	ايدي هاو له مستقبل تدريبي كبير
MGH	RT @W4FagvzM4KTrS23: صورة بنات في حفل تخرج هي محور الحديث طول اليوم.. هاو پاثيتيك
MGH	@almghrib @3kvNXMOmqfcjWlw @aboyosha3homs هاك الفيديو الذي يُبين لك من هو الشعب المقرقب  https://t.co/r2sxrjSiWn
MGH	ماشین حساب مخصوص افت ولتاژ موتور Spreadsheet https://t.co/SyUClMQzY1
MGH	RT @AseerAlshoog333: هاك صـوتي وأسأله وشـ كثر نادى  يا كثر ما نبرته بٓ أسـمك تموت   الصـدى حتى على الضحـكه تمادى  انت وحدك لك صدى من غير صوت
MGH	#مناظره رژیم دزدی که میکشه  اعدام میکنه قاتل تربیت میکنه  میفرسته سوریه مال مردم میخوره نامرس ملت ایران رو به خلیج… https://t.co/pMD21oJwAc
MGH	@shweqa_ لا حنا بش عادين بس الاحاسيس عندنا فواره
MGH	غلطتي كنت متراهي و متمادي كنت احسب الزمن و الوقت يمديني واثر من لا تغانم فرصته غادي اه يا فرصتن ضاعت من سنيني..
MGH	@sahrashirdel چرا اگه سوْال ازدواج جوانان به قاليباف افتاده بود ميگفت برنامه دارم از چس ناله جوانان مجرد برق توليد كنم ولي بش نخورد سوْال
